type,hrsys_rotation_id,etl_date,etl_date2,profile_id,desired_location,desired_country,ingest_ts,ingest_ts_offset
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,"Ontario, Mississauga",Canada,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,Oslo,Norway,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,Other Austria Locations,Austria,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,Other Finland Locations,Finland,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,Other Italy Locations,Italy,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,Other Japan Locations,Japan,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,Other Swiss and Zug Locations,Switzerland,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,Paris,France,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,Paris La Defense Cedex,France,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,"Parsippany, NJ",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,"Port Orchard, WA",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-14514917,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,0184fc34-9b9c-4fd4-8210-af8d00973d69,Porto Alegre,Brazil,2026-05-05 11:46:05.124189,UTC-4
